ID=706179781046484994;User=cbolmedo;Geo=null;Tipo=pared;Bombilla=flúor;Cubierta=corta;Alcance=medio;Inclinación=-30;Dispersión=estrecha
ID=706170266481729536;User=cbolmedo;Geo=GeoLocation{latitude=40.4104045, longitude=-3.6935166};Tipo=null;Bombilla=vapor mercurio color corregido tipo;Cubierta=null;Alcance=null;Inclinación=null;Dispersión=null
ID=706134597633970177;User=SPabloCalleja;Geo=null;Tipo=halógeno;Bombilla=null;Cubierta=null;Alcance=null;Inclinación=null;Dispersión=null
