X,Y,OBJECTID,PLG_GPSDATE,PoleNum,FixtureType,Address,Predir,Street,StreetType,Height,Wattage,InstallDate,PoleType,Owner,PowerFeed,LampType
-116.335958553244652,43.622608035197985,1282225,2001-01-02T00:00:00.000Z,54992B,Shoebox,1946,N,HEATH,AVE,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.336047380328907,43.621535146427391,1282226,2001-01-02T00:00:00.000Z,54991B,Shoebox,1826,N,HEATH,AVE,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.338008016325375,43.622692651472427,1282227,2001-01-02T00:00:00.000Z,54994B,Shoebox,1939,N,TYRA,AVE,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.153402029842596,43.540937866507264,1282228,,,,,,,,,,,,,,
-116.148607792946876,43.540635112641439,1282229,,,,,,,,,,,,,,
-116.149471522231124,43.540663180026129,1282230,,,,,,,,,,,,,,
-116.150343108980564,43.540691560372636,1282231,,,,,,,,,,,,,,
-116.151206325077965,43.540743927036729,1282232,,,,,,,,,,,,,,
-116.152334796017414,43.540876102262359,1282233,,,,,,,,,,,,,,
-116.33706292763442,43.622759417182415,1282234,2001-01-02T00:00:00.000Z,54995B,Shoebox,12398,,STILLWATER,,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.336878428628836,43.622140266299645,1282235,2001-01-02T00:00:00.000Z,54993B,Shoebox,1922,N,BANSTEAD,PL,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.334605134708511,43.626387450114585,1282236,2001-01-02T00:00:00.000Z,54975B,Shoebox,4784,E,BOWMONT,,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.336190071692968,43.626241193005143,1282237,2001-01-02T00:00:00.000Z,54976B,Shoebox,4671,E,BOWMONT,,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.338657506276206,43.626269624506499,1282238,2001-01-02T00:00:00.000Z,54978B,Shoebox,12557,W,BOWMONT,CT,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.337948957290592,43.626237018195489,1282239,2001-01-11T00:00:00.000Z,54977B,Shoebox,4559,E,BOWMONT,,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.324476009441312,43.616402948831769,1282240,2001-01-02T00:00:00.000Z,55339B,Shoebox,1219,N,SHAMROCK,ST,25,100,2000-10-31T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.326146192321673,43.616233231258292,1282241,2001-01-02T00:00:00.000Z,55338B,Shoebox,11547,W,IRVING,ST,25,100,2000-10-31T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.326867309550678,43.616217527322078,1282242,2001-01-02T00:00:00.000Z,55337B,Shoebox,11591,W,IRVING,ST,25,100,2000-10-31T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.327998174996907,43.616266449118662,1282243,2001-01-02T00:00:00.000Z,55363B,Shoebox,11699,W,IRVING,ST,25,100,2000-09-26T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
